"No","Title","Price","Image","Rating","Store","Description"
"16","SAMSUNG A12 RAM 6 128 RAM 4 128 GARANSI RESMI","Rp2.168.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/8/c9e911c9-1c39-4b2a-b9f5-787be692941a.jpg.webp?ect=4g","(142)","Tangerang Bintang Terang Cell","Description"
"17","Redmi Note 10 Pro 6/64GB + 8/128GB Garansi Resmi","Rp3.635.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/31/5a643563-0f91-4abc-97fa-7f32ab9dbc79.jpg.webp?ect=4g","(1924)","Jakarta Barat duniagadgetku","Description"
"18","Xiaomi Redmi Note 10 5G 4/128 GB Garansi Resmi","Rp2.784.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/30/f3c58129-b2fa-40a9-b6f4-4b17d0bf1d1a.jpg.webp?ect=4g","(105)","Jakarta Pusat Gudang-HP","Description"
"19","Asus ROG Phone 5 ZS673KS RAM 8GB ROM 128GB","Rp8.375.000","https://images.tokopedia.net/img/cache/200-square/product-1/2021/6/14/704005/704005_c9df7257-cf5d-4093-8d86-a0f2a2f098c4.jpg.webp?ect=4g","(78)","Bandung UpToDate","Description"
"20","Samsung Galaxy A03S 4/64 GB Garansi Resmi","Rp1.736.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/2/a1e40911-f0c5-4975-a6f9-0a368d67bc69.jpg.webp?ect=4g","(320)","Jakarta Pusat Garasi.ku","Description"
"21","Infinix Note 10 Pro 6/64 GB Garansi Resmi","Rp2.491.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/21/970616ae-c2c6-426e-b627-9cf7c72129b7.jpg.webp?ect=4g","(151)","Jakarta Pusat Gudang-HP","Description"
"22","Samsung Galaxy A22 4G 6/128 RAM 6GB ROM 128GB GARANSI RESMI","Rp2.825.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/30/8cf7d2f5-512e-459b-9386-f3025eaee853.jpg.webp?ect=4g","(71)","Bekasi PREMIUM OFFICIAL STORE","Description"
"23","Samsung Galaxy A22 4G 6/128 - Grs resmi Sein","Rp2.839.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/30/b08f2c3b-f5cf-400a-9bb4-59743b32e440.jpg.webp?ect=4g","(394)","Jakarta Timur Pluto sellular","Description"
"24","Samsung Galaxy A12 6/128 GB Garansi Resmi SEIN","Rp2.336.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/8/514435d7-9944-498c-b6fb-a9a06eca2dc4.jpg.webp?ect=4g","(208)","Jakarta Pusat Oceanic Official Store","Description"
"25","Samsung A12 4GB+128GB 6GB+128GB Garansi Resmi Samsung","Rp2.142.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/26/95d342f6-2faa-4837-a0b6-7ad7d4e602ab.jpg.webp?ect=4g","(423)","Jakarta Barat 36shop","Description"
"26","Apple iPhone New - SWAP Mesin Garansi Full","Rp6.849.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/12/ee28e965-6fe2-4a9e-b590-d29808684a92.jpg.webp?ect=4g","(96)","Jakarta Barat PT Pratama Sntra Semesta","Description"
"27","SAMSUNG GALAXY A12 4/128 GB, SAMSUNG GALAXY A12 6/128 GB GARANSI RESMI","Rp2.165.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/11/0f132c62-cfd0-4677-9b24-462c52a0e33c.jpg.webp?ect=4g","(149)","Tangerang STR-STORE","Description"
"28","ITEL VISION A26 RAM 2/32 GARANSI RESMI","Rp855.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/26/61914179-b361-4621-9ce3-53ee51b6de92.jpg.webp?ect=4g","(262)","Kediri Garden Cell Official","Description"
"29","Samsung Galaxy A22 4G 6/128Gb Garansi Resmi Sein Tam","Rp2.820.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/5/8f47d2e1-f93f-4355-a4ea-acb64b449c06.jpg.webp?ect=4g","(52)","Jakarta Selatan murahmeriah shop","Description"
"30","Samsung Galaxy A32 6/128 RAM 6GB 128GB Garansi Resmi Samsung Indonesia","Rp3.399.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/2/433c3f63-0f03-480f-9a7f-f38a28ff2525.jpg.webp?ect=4g","(106)","Jakarta Selatan SFONE OMNI STORE","Description"
"31","Realme C25S (4/128) Garansi Resmi","Rp2.162.000","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC","(92)","Jakarta Selatan murahmeriah shop","Description"
"32","SAMSUNG Galaxy A22 5G RAM 6/128GB Garansi Resmi","Rp3.249.000","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC","(59)","Bandung Rajaponsel Official","Description"
"33","Samsung M12 3/32 4/64 GB Mediatek Android RAM 3 4 ROM 32 64 Resmi SEIN","Rp1.710.000","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC","(142)","Jakarta Pusat SUPER_GADGET","Description"
"34","Samsung Galaxy A32 8/128 GB - Garansi Resmi Samsung Indonesia (SEIN)","Rp3.635.000","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC","(54)","Jakarta Utara Universe Store","Description"
"35","Samsung A12 6/128 RAM 6GB Internal 128GB Garansi Resmi SEIN","Rp2.334.000","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC","(368)","Jakarta Utara Vote VIP","Description"
"36","Xiaomi POCO M3 Poco M3 poco m3 6/128 6GB 128GB GARANSI RESMI - Hitam","Rp2.298.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/29/27f31b6e-0d12-4e63-bb68-090b30528025.jpg.webp?ect=4g","(305)","Tangerang Selatan Harapan Mandiri 100","Description"
"37","oppo A1k smartphone ram 3/32GB water drop screen 4G LTE - Merah","Rp1.100.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/3/5c9f50a0-5809-4729-bfb4-bb5ef06b1b84.jpg.webp?ect=4g","(32)","Bekasi SMART cell phone 3C","Description"
"38","iPhone 11 Pro Max 64Gb (Seken Original/Like New) - Midnight Green","Rp10.750.000","https://images.tokopedia.net/img/cache/200-square/product-1/2020/6/28/46881640/46881640_0316939f-e83f-4365-bb22-9f1b1de1d219_2048_2048.webp?ect=4g","(6)","Bandung JR Store Indonesia","Description"
"39","iPhone 13 PRO MAX 1TB/512GB/256GB/128GB Resmi Indonesia/Dual SIM Nano - 128 INTER, GRAPHITE 1-SIM","Rp20.071.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/21/72da1884-2fed-47c7-837d-30fb1830396f.jpg.webp?ect=4g","(27)","Jakarta Pusat MacBox id","Description"
"40","Apple iPhone 13 Pro Max Promax 128GB 256GB 512GB 1TB 128 256 512 1 TB - 128GB, GOLD","Rp20.800.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/16/70ce927c-11bb-4872-a5d8-477314637831.jpg.webp?ect=4g","(87)","Jakarta Pusat chocoapple","Description"
"41","Samsung Galaxy A32 6/128 RAM 6GB ROM 128GB GARANSI RESMI SEIN","Rp3.438.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/12/7854a6a0-e798-49fa-9d33-f29a6e2d087a.jpg.webp?ect=4g","(89)","Jakarta Pusat Altec Cellular","Description"
"42","Samsung A02 Ram 3 Rom 32 Garansi Resmi","Rp1.475.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/23/b82edefd-0d8a-4930-8bbb-2bb983f3a496.jpg.webp?ect=4g","(25)","Jakarta Pusat Super Store","Description"
"43","Xiaomi Poco X3 GT - 8GB 256GB (8/256) - New Original Garansi Resmi","Rp4.575.000","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/20/60fb5c3d-0771-4b7e-bc74-f8e435ca273f.jpg.webp?ect=4g","(106)","Jakarta Utara CA Shop","Description"
